STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-01,,98.84,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-02,,99.14,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-03,,100.07,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-04,,100.22,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-05,,100.12,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-06,,100.23,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-07,,99.58,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-08,,99.69,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-09,,100.13,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-10,,100.06,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-11,,99.88,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2014-12,,99.78,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-01,,98.24,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-02,,98.85,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-03,,100.00,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-04,,100.43,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-05,,100.71,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-06,,100.72,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-07,,100.12,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-08,,100.12,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-09,,100.32,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-10,,100.45,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-11,,100.01,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2015-12,,100.03,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-01,,98.56,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-02,,98.72,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-03,,99.95,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-04,,100.17,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-05,,100.58,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-06,,100.76,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-07,,100.28,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-08,,100.34,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-09,,100.71,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-10,,100.95,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-11,,100.59,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2016-12,,101.12,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-01,,100.26,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-02,,100.65,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-03,,101.48,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-04,,102.06,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-05,,101.97,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-06,,102.07,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-07,,101.62,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-08,,101.88,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-09,,102.29,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-10,,102.34,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-11,,102.13,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2017-12,,102.48,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-01,,101.55,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-02,,101.77,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-03,,102.90,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-04,,103.32,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-05,,103.96,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-06,,104.08,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-07,,103.85,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-08,,104.00,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-09,,104.41,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-10,,104.67,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-11,,104.09,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2018-12,,104.04,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2019-01,,102.96,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2019-02,,103.28,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2019-03,,104.34,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2019-04,,105.09,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I15,"Index, 2015=100",CP00,All-items HICP,EA20,Euro area – 20 countries (from 2023),2019-05,,105.23,,,,,
